user_id,action_name,recent_count,baseline_count,lift,trend_score,time_window
user_001,上传收入证明,6,0.084337,12.0,19.459101,7d
user_004,查交易结果,5,0.253012,10.0,17.917595,7d
user_004,查交易明细,4,0.168675,8.0,12.875503,7d
user_005,开通快捷支付,4,0.0,8.0,12.875503,7d
user_007,修改转账限额,7,0.084337,14.0,20.794415,7d
user_007,快捷支付,4,0.421687,8.0,12.875503,7d
user_008,上传收入证明,4,0.168675,8.0,12.875503,7d
user_011,收款码,5,0.253012,10.0,17.917595,7d
user_012,开通快捷支付,5,0.168675,10.0,17.917595,7d
user_015,上传收入证明,5,0.084337,10.0,17.917595,7d
user_016,开通快捷支付,5,0.084337,10.0,17.917595,7d
user_017,修改转账限额,7,0.084337,14.0,20.794415,7d
user_023,上传收入证明,8,0.0,16.0,21.972246,7d
user_024,购买旅行保险,8,0.168675,16.0,21.972246,7d
user_025,查询汇率牌价,6,0.168675,12.0,19.459101,7d
user_025,短信验证,4,0.168675,8.0,12.875503,7d
user_027,上传收入证明,5,0.084337,10.0,17.917595,7d
user_028,查银行卡,4,0.084337,8.0,12.875503,7d
user_030,申请贷款试算,6,0.0,12.0,19.459101,7d
user_032,上传收入证明,8,0.168675,16.0,21.972246,7d
user_038,上传收入证明,8,0.084337,16.0,21.972246,7d
user_039,修改转账限额,5,0.0,10.0,17.917595,7d
user_041,跨行转入,5,0.421687,10.0,17.917595,7d
user_042,查交易结果,4,0.337349,8.0,12.875503,7d
user_043,上传收入证明,5,0.084337,10.0,17.917595,7d
user_046,跨行转入,5,0.421687,10.0,17.917595,7d
user_047,修改转账限额,7,0.0,14.0,20.794415,7d
user_048,开通快捷支付,6,0.084337,12.0,19.459101,7d
user_049,查询汇率牌价,4,0.168675,8.0,12.875503,7d
user_051,查询汇率牌价,5,0.168675,10.0,17.917595,7d
user_051,跨行转入,4,0.084337,8.0,12.875503,7d
user_052,申请贷款试算,5,0.0,10.0,17.917595,7d
user_054,购买旅行保险,4,0.0,8.0,12.875503,7d
user_055,上传收入证明,7,0.084337,14.0,20.794415,7d
user_057,购买旅行保险,7,0.168675,14.0,20.794415,7d
user_057,查看黄金行情,4,0.337349,8.0,12.875503,7d
user_059,开通快捷支付,7,0.168675,14.0,20.794415,7d
user_063,购买旅行保险,7,0.084337,14.0,20.794415,7d
user_067,上传收入证明,5,0.0,10.0,17.917595,7d
user_068,开通快捷支付,6,0.168675,12.0,19.459101,7d
user_069,购买旅行保险,5,0.084337,10.0,17.917595,7d
user_071,申请贷款试算,8,0.084337,16.0,21.972246,7d
user_072,购买旅行保险,5,0.0,10.0,17.917595,7d
user_073,查询汇率牌价,6,0.0,12.0,19.459101,7d
user_074,上传收入证明,5,0.0,10.0,17.917595,7d
user_075,修改转账限额,6,0.084337,12.0,19.459101,7d
user_076,上传收入证明,4,0.0,8.0,12.875503,7d
user_079,开通快捷支付,8,0.084337,16.0,21.972246,7d
user_081,购买旅行保险,6,0.168675,12.0,19.459101,7d
user_083,上传收入证明,6,0.084337,12.0,19.459101,7d
user_084,申请贷款试算,7,0.0,14.0,20.794415,7d
user_089,申请贷款试算,4,0.084337,8.0,12.875503,7d
user_090,上传收入证明,6,0.0,12.0,19.459101,7d
user_091,购买旅行保险,8,0.0,16.0,21.972246,7d
user_094,开通快捷支付,8,0.084337,16.0,21.972246,7d
user_096,购买旅行保险,8,0.084337,16.0,21.972246,7d
user_099,修改转账限额,7,0.0,14.0,20.794415,7d
user_102,购买旅行保险,8,0.0,16.0,21.972246,7d
user_103,申请贷款试算,7,0.168675,14.0,20.794415,7d
user_105,查询汇率牌价,6,0.168675,12.0,19.459101,7d
user_106,购买旅行保险,6,0.084337,12.0,19.459101,7d
user_108,申请贷款试算,6,0.0,12.0,19.459101,7d
user_111,上传收入证明,4,0.0,8.0,12.875503,7d
user_113,上传收入证明,4,0.084337,8.0,12.875503,7d
user_115,申请贷款试算,5,0.084337,10.0,17.917595,7d
user_122,上传收入证明,5,0.168675,10.0,17.917595,7d
user_123,购买旅行保险,5,0.168675,10.0,17.917595,7d
user_126,修改转账限额,8,0.0,16.0,21.972246,7d
user_127,申请贷款试算,4,0.168675,8.0,12.875503,7d
user_128,申请贷款试算,4,0.084337,8.0,12.875503,7d
user_131,购买旅行保险,8,0.084337,16.0,21.972246,7d
user_132,申请贷款试算,6,0.168675,12.0,19.459101,7d
user_134,申请贷款试算,5,0.0,10.0,17.917595,7d
user_135,购买旅行保险,8,0.084337,16.0,21.972246,7d
user_136,购买旅行保险,7,0.0,14.0,20.794415,7d
user_143,购买旅行保险,7,0.168675,14.0,20.794415,7d
user_145,查询汇率牌价,6,0.168675,12.0,19.459101,7d
user_147,申请贷款试算,5,0.0,10.0,17.917595,7d
user_148,申请贷款试算,8,0.168675,16.0,21.972246,7d
user_150,上传收入证明,4,0.0,8.0,12.875503,7d
user_152,开通快捷支付,4,0.084337,8.0,12.875503,7d
user_153,购买旅行保险,8,0.168675,16.0,21.972246,7d
user_157,申请贷款试算,4,0.168675,8.0,12.875503,7d
user_161,上传收入证明,8,0.168675,16.0,21.972246,7d
user_165,上传收入证明,6,0.168675,12.0,19.459101,7d
user_168,上传收入证明,7,0.084337,14.0,20.794415,7d
user_172,查询汇率牌价,4,0.0,8.0,12.875503,7d
user_173,修改转账限额,7,0.168675,14.0,20.794415,7d
user_174,查询汇率牌价,7,0.084337,14.0,20.794415,7d
user_177,开通快捷支付,6,0.084337,12.0,19.459101,7d
user_182,修改转账限额,8,0.168675,16.0,21.972246,7d
user_183,查询汇率牌价,8,0.0,16.0,21.972246,7d
user_184,购买旅行保险,4,0.168675,8.0,12.875503,7d
user_185,上传收入证明,4,0.084337,8.0,12.875503,7d
user_188,修改转账限额,5,0.168675,10.0,17.917595,7d
user_192,修改转账限额,7,0.168675,14.0,20.794415,7d
user_201,上传收入证明,4,0.0,8.0,12.875503,7d
user_204,购买旅行保险,5,0.168675,10.0,17.917595,7d
user_208,查询汇率牌价,6,0.084337,12.0,19.459101,7d
user_209,购买旅行保险,7,0.0,14.0,20.794415,7d
user_216,购买旅行保险,4,0.168675,8.0,12.875503,7d
user_217,开通快捷支付,6,0.0,12.0,19.459101,7d
user_218,查询汇率牌价,7,0.0,14.0,20.794415,7d
user_222,开通快捷支付,4,0.084337,8.0,12.875503,7d
user_225,申请贷款试算,8,0.0,16.0,21.972246,7d
user_229,开通快捷支付,8,0.0,16.0,21.972246,7d
user_230,查询汇率牌价,6,0.0,12.0,19.459101,7d
user_235,修改转账限额,5,0.084337,10.0,17.917595,7d
user_238,购买旅行保险,7,0.168675,14.0,20.794415,7d
user_239,修改转账限额,7,0.0,14.0,20.794415,7d
user_240,修改转账限额,4,0.168675,8.0,12.875503,7d
