user_id,sequence,sequence_length,support_count,next_action_candidate,positive_label,pattern_id
user_114,查余额 -> 给朋友转账 -> 查交易结果,3,2,查交易结果,1,sequence_000_0
user_114,银行卡管理 -> 添加银行卡 -> 短信验证,3,3,短信验证,1,sequence_000_1
user_189,查看理财产品 -> 风险评估 -> 购买理财,3,3,购买理财,1,sequence_001_0
user_189,基金定投 -> 查看基金净值,2,4,查看基金净值,1,sequence_001_1
user_129,信用卡账单 -> 还信用卡 -> 查还款结果,3,4,查还款结果,1,sequence_002_0
user_129,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,5,查交易结果,1,sequence_002_1
user_124,银行卡管理 -> 添加银行卡 -> 短信验证,3,5,短信验证,1,sequence_003_0
user_124,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,6,查还款结果,1,sequence_003_1
user_064,基金定投 -> 查看基金净值,2,6,查看基金净值,1,sequence_004_0
user_064,选择网点 -> 预约取号 -> 查预约记录,3,7,查预约记录,1,sequence_004_1
user_207,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,7,查交易结果,1,sequence_005_0
user_207,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,8,查还款结果,1,sequence_005_1
user_144,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,8,查还款结果,1,sequence_006_0
user_144,查看黄金行情 -> 买黄金,2,2,买黄金,1,sequence_006_1
user_013,选择网点 -> 预约取号 -> 查预约记录,3,2,查预约记录,1,sequence_007_0
user_013,查余额 -> 给朋友转账 -> 查交易结果,3,3,查交易结果,1,sequence_007_1
user_223,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,3,查还款结果,1,sequence_008_0
user_223,查看理财产品 -> 风险评估 -> 购买理财,3,4,购买理财,1,sequence_008_1
user_141,查看黄金行情 -> 买黄金,2,4,买黄金,1,sequence_009_0
user_141,信用卡账单 -> 还信用卡 -> 查还款结果,3,5,查还款结果,1,sequence_009_1
user_176,查余额 -> 给朋友转账 -> 查交易结果,3,5,查交易结果,1,sequence_010_0
user_176,银行卡管理 -> 添加银行卡 -> 短信验证,3,6,短信验证,1,sequence_010_1
user_062,查看理财产品 -> 风险评估 -> 购买理财,3,6,购买理财,1,sequence_011_0
user_062,基金定投 -> 查看基金净值,2,7,查看基金净值,1,sequence_011_1
user_045,信用卡账单 -> 还信用卡 -> 查还款结果,3,7,查还款结果,1,sequence_012_0
user_045,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,8,查交易结果,1,sequence_012_1
user_190,银行卡管理 -> 添加银行卡 -> 短信验证,3,8,短信验证,1,sequence_013_0
user_190,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,2,查还款结果,1,sequence_013_1
user_138,基金定投 -> 查看基金净值,2,2,查看基金净值,1,sequence_014_0
user_138,选择网点 -> 预约取号 -> 查预约记录,3,3,查预约记录,1,sequence_014_1
user_232,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,3,查交易结果,1,sequence_015_0
user_232,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,4,查还款结果,1,sequence_015_1
user_028,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,4,查还款结果,1,sequence_016_0
user_028,查看黄金行情 -> 买黄金,2,5,买黄金,1,sequence_016_1
user_085,选择网点 -> 预约取号 -> 查预约记录,3,5,查预约记录,1,sequence_017_0
user_085,查余额 -> 给朋友转账 -> 查交易结果,3,6,查交易结果,1,sequence_017_1
user_187,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,6,查还款结果,1,sequence_018_0
user_187,查看理财产品 -> 风险评估 -> 购买理财,3,7,购买理财,1,sequence_018_1
user_118,查看黄金行情 -> 买黄金,2,7,买黄金,1,sequence_019_0
user_118,信用卡账单 -> 还信用卡 -> 查还款结果,3,8,查还款结果,1,sequence_019_1
user_211,查余额 -> 给朋友转账 -> 查交易结果,3,8,查交易结果,1,sequence_020_0
user_211,银行卡管理 -> 添加银行卡 -> 短信验证,3,2,短信验证,1,sequence_020_1
user_169,查看理财产品 -> 风险评估 -> 购买理财,3,2,购买理财,1,sequence_021_0
user_169,基金定投 -> 查看基金净值,2,3,查看基金净值,1,sequence_021_1
user_044,信用卡账单 -> 还信用卡 -> 查还款结果,3,3,查还款结果,1,sequence_022_0
user_044,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,4,查交易结果,1,sequence_022_1
user_061,银行卡管理 -> 添加银行卡 -> 短信验证,3,4,短信验证,1,sequence_023_0
user_061,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,5,查还款结果,1,sequence_023_1
user_133,基金定投 -> 查看基金净值,2,5,查看基金净值,1,sequence_024_0
user_133,选择网点 -> 预约取号 -> 查预约记录,3,6,查预约记录,1,sequence_024_1
user_110,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,6,查交易结果,1,sequence_025_0
user_110,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,7,查还款结果,1,sequence_025_1
user_035,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,7,查还款结果,1,sequence_026_0
user_035,查看黄金行情 -> 买黄金,2,8,买黄金,1,sequence_026_1
user_097,选择网点 -> 预约取号 -> 查预约记录,3,8,查预约记录,1,sequence_027_0
user_097,查余额 -> 给朋友转账 -> 查交易结果,3,2,查交易结果,1,sequence_027_1
user_101,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,2,查还款结果,1,sequence_028_0
user_101,查看理财产品 -> 风险评估 -> 购买理财,3,3,购买理财,1,sequence_028_1
user_236,查看黄金行情 -> 买黄金,2,3,买黄金,1,sequence_029_0
user_236,信用卡账单 -> 还信用卡 -> 查还款结果,3,4,查还款结果,1,sequence_029_1
user_031,查余额 -> 给朋友转账 -> 查交易结果,3,4,查交易结果,1,sequence_030_0
user_031,银行卡管理 -> 添加银行卡 -> 短信验证,3,5,短信验证,1,sequence_030_1
user_019,查看理财产品 -> 风险评估 -> 购买理财,3,5,购买理财,1,sequence_031_0
user_019,基金定投 -> 查看基金净值,2,6,查看基金净值,1,sequence_031_1
user_175,信用卡账单 -> 还信用卡 -> 查还款结果,3,6,查还款结果,1,sequence_032_0
user_175,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,7,查交易结果,1,sequence_032_1
user_206,银行卡管理 -> 添加银行卡 -> 短信验证,3,7,短信验证,1,sequence_033_0
user_206,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,8,查还款结果,1,sequence_033_1
user_116,基金定投 -> 查看基金净值,2,8,查看基金净值,1,sequence_034_0
user_116,选择网点 -> 预约取号 -> 查预约记录,3,2,查预约记录,1,sequence_034_1
user_199,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,2,查交易结果,1,sequence_035_0
user_199,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,3,查还款结果,1,sequence_035_1
user_026,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,3,查还款结果,1,sequence_036_0
user_026,查看黄金行情 -> 买黄金,2,4,买黄金,1,sequence_036_1
user_140,选择网点 -> 预约取号 -> 查预约记录,3,4,查预约记录,1,sequence_037_0
user_140,查余额 -> 给朋友转账 -> 查交易结果,3,5,查交易结果,1,sequence_037_1
user_226,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,5,查还款结果,1,sequence_038_0
user_226,查看理财产品 -> 风险评估 -> 购买理财,3,6,购买理财,1,sequence_038_1
user_158,查看黄金行情 -> 买黄金,2,6,买黄金,1,sequence_039_0
user_158,信用卡账单 -> 还信用卡 -> 查还款结果,3,7,查还款结果,1,sequence_039_1
user_222,查余额 -> 给朋友转账 -> 查交易结果,3,7,查交易结果,1,sequence_040_0
user_222,银行卡管理 -> 添加银行卡 -> 短信验证,3,8,短信验证,1,sequence_040_1
user_188,查看理财产品 -> 风险评估 -> 购买理财,3,8,购买理财,1,sequence_041_0
user_188,基金定投 -> 查看基金净值,2,2,查看基金净值,1,sequence_041_1
user_217,信用卡账单 -> 还信用卡 -> 查还款结果,3,2,查还款结果,1,sequence_042_0
user_217,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,3,查交易结果,1,sequence_042_1
user_168,银行卡管理 -> 添加银行卡 -> 短信验证,3,3,短信验证,1,sequence_043_0
user_168,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,4,查还款结果,1,sequence_043_1
user_032,基金定投 -> 查看基金净值,2,4,查看基金净值,1,sequence_044_0
user_032,选择网点 -> 预约取号 -> 查预约记录,3,5,查预约记录,1,sequence_044_1
user_172,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,5,查交易结果,1,sequence_045_0
user_172,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,6,查还款结果,1,sequence_045_1
user_115,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,6,查还款结果,1,sequence_046_0
user_115,查看黄金行情 -> 买黄金,2,7,买黄金,1,sequence_046_1
user_068,选择网点 -> 预约取号 -> 查预约记录,3,7,查预约记录,1,sequence_047_0
user_068,查余额 -> 给朋友转账 -> 查交易结果,3,8,查交易结果,1,sequence_047_1
user_047,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,8,查还款结果,1,sequence_048_0
user_047,查看理财产品 -> 风险评估 -> 购买理财,3,2,购买理财,1,sequence_048_1
user_096,查看黄金行情 -> 买黄金,2,2,买黄金,1,sequence_049_0
user_096,信用卡账单 -> 还信用卡 -> 查还款结果,3,3,查还款结果,1,sequence_049_1
user_008,查余额 -> 给朋友转账 -> 查交易结果,3,3,查交易结果,1,sequence_050_0
user_008,银行卡管理 -> 添加银行卡 -> 短信验证,3,4,短信验证,1,sequence_050_1
user_067,查看理财产品 -> 风险评估 -> 购买理财,3,4,购买理财,1,sequence_051_0
user_067,基金定投 -> 查看基金净值,2,5,查看基金净值,1,sequence_051_1
user_208,信用卡账单 -> 还信用卡 -> 查还款结果,3,5,查还款结果,1,sequence_052_0
user_208,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,6,查交易结果,1,sequence_052_1
user_057,银行卡管理 -> 添加银行卡 -> 短信验证,3,6,短信验证,1,sequence_053_0
user_057,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,7,查还款结果,1,sequence_053_1
user_126,基金定投 -> 查看基金净值,2,7,查看基金净值,1,sequence_054_0
user_126,选择网点 -> 预约取号 -> 查预约记录,3,8,查预约记录,1,sequence_054_1
user_128,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,8,查交易结果,1,sequence_055_0
user_128,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,2,查还款结果,1,sequence_055_1
user_051,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,2,查还款结果,1,sequence_056_0
user_051,查看黄金行情 -> 买黄金,2,3,买黄金,1,sequence_056_1
user_073,选择网点 -> 预约取号 -> 查预约记录,3,3,查预约记录,1,sequence_057_0
user_073,查余额 -> 给朋友转账 -> 查交易结果,3,4,查交易结果,1,sequence_057_1
user_174,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,4,查还款结果,1,sequence_058_0
user_174,查看理财产品 -> 风险评估 -> 购买理财,3,5,购买理财,1,sequence_058_1
user_148,查看黄金行情 -> 买黄金,2,5,买黄金,1,sequence_059_0
user_148,信用卡账单 -> 还信用卡 -> 查还款结果,3,6,查还款结果,1,sequence_059_1
user_111,查余额 -> 给朋友转账 -> 查交易结果,3,6,查交易结果,1,sequence_060_0
user_111,银行卡管理 -> 添加银行卡 -> 短信验证,3,7,短信验证,1,sequence_060_1
user_069,查看理财产品 -> 风险评估 -> 购买理财,3,7,购买理财,1,sequence_061_0
user_069,基金定投 -> 查看基金净值,2,8,查看基金净值,1,sequence_061_1
user_165,信用卡账单 -> 还信用卡 -> 查还款结果,3,8,查还款结果,1,sequence_062_0
user_165,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,2,查交易结果,1,sequence_062_1
user_084,银行卡管理 -> 添加银行卡 -> 短信验证,3,2,短信验证,1,sequence_063_0
user_084,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,3,查还款结果,1,sequence_063_1
user_131,基金定投 -> 查看基金净值,2,3,查看基金净值,1,sequence_064_0
user_131,选择网点 -> 预约取号 -> 查预约记录,3,4,查预约记录,1,sequence_064_1
user_127,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,4,查交易结果,1,sequence_065_0
user_127,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,5,查还款结果,1,sequence_065_1
user_134,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,5,查还款结果,1,sequence_066_0
user_134,查看黄金行情 -> 买黄金,2,6,买黄金,1,sequence_066_1
user_001,选择网点 -> 预约取号 -> 查预约记录,3,6,查预约记录,1,sequence_067_0
user_001,查余额 -> 给朋友转账 -> 查交易结果,3,7,查交易结果,1,sequence_067_1
user_143,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,7,查还款结果,1,sequence_068_0
user_143,查看理财产品 -> 风险评估 -> 购买理财,3,8,购买理财,1,sequence_068_1
user_183,查看黄金行情 -> 买黄金,2,8,买黄金,1,sequence_069_0
user_183,信用卡账单 -> 还信用卡 -> 查还款结果,3,2,查还款结果,1,sequence_069_1
user_089,查余额 -> 给朋友转账 -> 查交易结果,3,2,查交易结果,1,sequence_070_0
user_089,银行卡管理 -> 添加银行卡 -> 短信验证,3,3,短信验证,1,sequence_070_1
user_012,查看理财产品 -> 风险评估 -> 购买理财,3,3,购买理财,1,sequence_071_0
user_012,基金定投 -> 查看基金净值,2,4,查看基金净值,1,sequence_071_1
user_030,信用卡账单 -> 还信用卡 -> 查还款结果,3,4,查还款结果,1,sequence_072_0
user_030,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,5,查交易结果,1,sequence_072_1
user_055,银行卡管理 -> 添加银行卡 -> 短信验证,3,5,短信验证,1,sequence_073_0
user_055,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,6,查还款结果,1,sequence_073_1
user_153,基金定投 -> 查看基金净值,2,6,查看基金净值,1,sequence_074_0
user_153,选择网点 -> 预约取号 -> 查预约记录,3,7,查预约记录,1,sequence_074_1
user_054,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,7,查交易结果,1,sequence_075_0
user_054,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,8,查还款结果,1,sequence_075_1
user_016,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,8,查还款结果,1,sequence_076_0
user_016,查看黄金行情 -> 买黄金,2,2,买黄金,1,sequence_076_1
user_025,选择网点 -> 预约取号 -> 查预约记录,3,2,查预约记录,1,sequence_077_0
user_025,查余额 -> 给朋友转账 -> 查交易结果,3,3,查交易结果,1,sequence_077_1
user_209,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,3,查还款结果,1,sequence_078_0
user_209,查看理财产品 -> 风险评估 -> 购买理财,3,4,购买理财,1,sequence_078_1
user_038,查看黄金行情 -> 买黄金,2,4,买黄金,1,sequence_079_0
user_038,信用卡账单 -> 还信用卡 -> 查还款结果,3,5,查还款结果,1,sequence_079_1
